                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2032,                 2.7061,                 1.3985,                0.59558,                0.51793,                0.54816,                0.42423,                0.94223,                 2.5902,                 1.1386,             0.00011432,             0.00011432,             0.00011432
                      2,                0.93714,                 1.2675,                 1.1883,                0.73017,                0.57694,                0.63179,                0.47071,                0.99849,                 1.6925,                 1.1204,             0.00022289,             0.00022289,             0.00022289
                      3,                0.85211,                 1.2721,                 1.1192,                0.71023,                0.58721,                0.66125,                0.49857,                0.95855,                 1.5554,                 1.0883,             0.00031024,             0.00031024,             0.00031024
                      4,                0.79658,                 1.0678,                  1.058,                0.66297,                0.67526,                0.68027,                0.49152,                 1.0258,                 1.3484,                 1.1169,             0.00037636,             0.00037636,             0.00037636
                      5,                0.85222,                 1.0984,                 1.0713,                0.58154,                0.70686,                0.68564,                  0.484,                 1.0364,                  2.008,                  1.147,             0.00042127,             0.00042127,             0.00042127
                      6,                 0.8268,                0.93219,                 1.0465,                0.72565,                0.66964,                0.69658,                0.51127,                0.97562,                 1.1568,                  1.124,             0.00044495,             0.00044495,             0.00044495
                      7,                0.84485,                 1.0104,                 1.0597,                0.74824,                0.59281,                0.64896,                0.48393,                   1.01,                 1.1627,                 1.1424,             0.00044742,             0.00044742,             0.00044742
                      8,                0.78582,                0.80021,                 1.0399,                0.82017,                0.63587,                0.71127,                0.53094,                0.94481,                 1.1221,                 1.0894,             0.00042866,             0.00042866,             0.00042866
                      9,                0.80934,                0.81016,                 1.0376,                0.85701,                 0.6542,                0.73412,                0.54707,                0.91925,                 1.0159,                 1.0754,             0.00038869,             0.00038869,             0.00038869
                     10,                0.75241,                0.79678,                 1.0107,                0.94222,                0.68737,                0.77814,                 0.5705,                0.91567,                0.81467,                 1.0668,             0.00032749,             0.00032749,             0.00032749
                     11,                0.72468,                0.71452,                0.98971,                0.81902,                0.71112,                0.78413,                0.57604,                  0.927,                0.76988,                 1.0686,             0.00024507,             0.00024507,             0.00024507
                     12,                 0.7193,                0.63543,                0.98876,                0.85934,                0.69541,                0.79461,                0.58102,                0.92945,                  0.713,                 1.0609,             0.00013218,             0.00013218,             0.00013218
